sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.98;6.41;7.38;-0.82;6.46;7.33;-0.08;-0.02;0.32;-0.23;-0.36;0.0;320.0;-31.56;29.46;6.96;64.36;-41.21;6.38;9.0;1010.16;48.893;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;5;2014-12-10 11:19:37:051
-0.68;6.3;7.54;-0.45;6.34;7.46;0.04;0.01;0.03;-0.04;0.0;0.0;320.0;-31.2;29.88;7.85;61.55;-40.31;3.45;9.0;1010.17;50.949;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;504;2014-12-10 11:19:37:550
-0.65;6.25;7.57;-0.43;6.29;7.5;0.03;-0.02;-0.01;-0.02;-0.03;0.01;320.0;-31.26;30.3;8.28;61.24;-39.94;3.28;9.0;1010.17;57.795;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;1005;2014-12-10 11:19:38:051
-0.64;6.18;7.77;-0.41;6.27;7.52;0.0;0.01;-0.1;0.0;0.0;0.0;320.0;-31.32;29.88;7.98;61.07;-39.78;3.12;9.0;1010.16;43.27;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;1508;2014-12-10 11:19:38:554
-0.56;6.24;7.65;-0.4;6.26;7.53;-0.01;0.0;0.01;-0.02;-0.04;0.02;320.0;-30.42;29.7;8.88;61.02;-39.7;3.04;9.0;1010.17;54.001;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;2005;2014-12-10 11:19:39:051
-0.54;6.11;7.62;-0.38;6.22;7.57;0.0;-0.02;0.07;-0.04;-0.03;0.01;320.0;-31.32;29.51;8.93;61.59;-39.37;2.87;9.0;1010.16;56.149;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;2505;2014-12-10 11:19:39:551
-0.5;6.12;7.67;-0.37;6.18;7.6;-0.01;0.02;0.06;-0.03;-0.01;0.02;320.0;-31.32;29.58;8.82;61.36;-39.08;2.79;9.0;1010.15;51.68;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;3004;2014-12-10 11:19:40:050
-0.26;6.1;7.33;-0.29;6.16;7.61;-0.14;-0.03;0.31;-0.01;-0.02;0.0;320.0;-31.2;29.7;9.05;61.12;-38.88;2.48;9.0;1010.16;42.254;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;3504;2014-12-10 11:19:40:550
-0.18;5.98;7.7;-0.25;6.11;7.65;0.05;0.04;0.19;0.0;0.01;0.0;320.0;-31.14;30.0;9.17;60.79;-38.73;1.8;9.0;1010.15;37.332;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;4004;2014-12-10 11:19:41:050
-0.22;5.89;7.71;-0.08;6.04;7.72;0.03;0.01;0.02;-0.01;-0.03;0.0;320.0;-31.2;28.98;8.93;61.33;-38.2;1.12;9.0;1010.16;53.524;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;4504;2014-12-10 11:19:41:550
0.13;5.8;7.94;0.06;5.91;7.82;-0.01;-0.02;-0.06;0.0;-0.07;0.02;320.0;-31.01;29.82;10.38;59.85;-37.08;-0.44;9.0;1010.16;64.274;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;5004;2014-12-10 11:19:42:050
0.06;5.76;8.04;0.16;5.88;7.84;0.07;-0.04;-0.08;0.0;0.0;0.0;320.0;-31.43;29.76;10.62;60.33;-36.86;-1.17;9.0;1010.15;63.816;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;5504;2014-12-10 11:19:42:550
0.17;5.71;7.92;0.22;5.85;7.86;0.03;-0.05;-0.05;-0.02;0.02;0.0;320.0;-30.96;29.51;10.32;59.32;-36.73;-1.46;9.0;1010.15;60.633;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;6004;2014-12-10 11:19:43:050
0.3;5.67;8.01;0.26;5.82;7.88;-0.03;0.0;0.03;0.01;0.0;0.0;320.0;-31.38;30.0;11.7;60.76;-36.48;-1.74;9.0;1010.15;49.834;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;6504;2014-12-10 11:19:43:550
0.28;5.69;7.94;0.3;5.81;7.89;-0.01;-0.01;-0.02;-0.02;-0.02;0.01;320.0;-31.5;28.85;10.5;60.78;-36.3;-2.18;9.0;1010.16;59.577;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;7005;2014-12-10 11:19:44:051
0.29;5.71;8.02;0.32;5.79;7.9;0.01;-0.01;-0.06;-0.02;-0.02;0.01;320.0;-31.14;30.54;11.4;58.49;-36.22;-2.32;9.0;1010.16;60.114;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;7504;2014-12-10 11:19:44:550
0.34;5.62;8.02;0.35;5.77;7.92;0.0;0.01;-0.01;0.0;0.0;0.0;320.0;-30.59;30.48;10.67;59.41;-36.05;-2.53;9.0;1010.16;35.813;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;8005;2014-12-10 11:19:45:051
0.31;5.64;8.01;0.37;5.75;7.93;0.01;-0.02;-0.02;-0.02;0.0;0.0;320.0;-31.08;29.88;11.4;59.33;-35.95;-2.6;9.0;1010.15;58.635;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;8504;2014-12-10 11:19:45:550
0.37;5.61;8.0;0.37;5.74;7.94;0.01;0.02;0.01;-0.01;0.0;0.0;320.0;-31.26;29.76;11.4;59.26;-35.87;-2.67;9.0;1010.15;39.227;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;9004;2014-12-10 11:19:46:050
0.34;5.64;7.99;0.38;5.72;7.95;-0.02;0.0;0.0;-0.02;-0.03;0.01;320.0;-31.62;29.64;11.46;59.96;-35.79;-2.67;9.0;1010.16;63.706;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;9505;2014-12-10 11:19:46:551
0.4;5.6;8.03;0.38;5.71;7.95;-0.02;0.01;-0.07;0.0;-0.04;0.01;320.0;-31.2;30.24;11.58;59.94;-35.66;-2.74;9.0;1010.16;48.249;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;10004;2014-12-10 11:19:47:050
0.37;5.6;7.99;0.4;5.69;7.96;0.0;0.0;0.0;0.0;0.02;0.0;320.0;-31.8;30.0;10.8;59.77;-35.57;-2.88;9.0;1010.16;52.626;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;10504;2014-12-10 11:19:47:550
0.33;5.6;8.09;0.38;5.68;7.98;0.0;-0.03;0.0;0.0;-0.01;0.0;320.0;-31.92;29.51;11.52;60.55;-35.45;-2.73;9.0;1010.16;51.876;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;11005;2014-12-10 11:19:48:051
0.38;5.59;7.98;0.4;5.68;7.98;0.0;0.02;0.0;0.01;0.01;0.0;320.0;-31.38;29.51;10.67;58.95;-35.41;-2.8;9.0;1010.16;41.662;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;11504;2014-12-10 11:19:48:550
0.39;5.61;7.95;0.4;5.67;7.98;-0.04;0.01;-0.08;0.01;0.0;0.0;320.0;-31.32;29.82;11.4;58.9;-35.36;-2.87;9.0;1010.17;46.617;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;12005;2014-12-10 11:19:49:051
0.51;5.57;7.64;0.45;5.68;7.97;-0.1;-0.01;0.32;0.02;-0.03;0.0;320.0;-31.67;29.46;11.4;60.66;-35.43;-3.23;9.0;1010.17;33.637;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;12504;2014-12-10 11:19:49:550
0.51;5.56;7.95;0.42;5.64;8.0;-0.07;0.0;0.12;0.05;-0.1;0.01;320.0;-31.92;29.7;11.52;60.34;-35.35;-3.23;9.0;1010.16;33.528;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;13004;2014-12-10 11:19:50:050
0.31;5.56;8.4;0.41;5.65;8.0;-0.1;-0.04;-0.06;0.01;-0.02;0.0;320.0;-31.32;29.93;11.21;58.76;-35.15;-2.93;9.0;1010.17;53.06;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;13505;2014-12-10 11:19:50:551
0.37;5.58;8.01;0.42;5.66;7.99;0.0;0.01;0.07;0.0;0.0;0.0;320.0;-31.14;29.82;11.46;58.81;-35.28;-3.01;9.0;1010.16;52.518;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;14004;2014-12-10 11:19:51:050
0.38;5.57;8.06;0.42;5.65;8.0;0.01;0.0;-0.02;0.0;0.0;0.0;320.0;-30.78;29.82;12.24;59.58;-35.19;-3.01;9.0;1010.16;46.879;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;14505;2014-12-10 11:19:51:551
0.42;5.54;7.91;0.43;5.64;8.0;0.0;0.0;0.09;0.0;0.02;0.0;320.0;-32.16;30.06;11.1;59.47;-35.14;-3.08;9.0;1010.16;50.044;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;15004;2014-12-10 11:19:52:050
0.37;5.53;8.09;0.43;5.63;8.01;-0.02;0.0;-0.05;0.0;0.0;0.0;320.0;-31.26;30.0;11.52;59.5;-35.07;-3.0;9.0;1010.16;56.167;24.786316;120.99741;;97.1150131;;;65.353;;0 / 19;15504;2014-12-10 11:19:52:550
