sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.4884;0.0575;9.5289;63.0;-145.32;-135.36;-41.52;132.66;0.06;2.26;2.4;62.76;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;10;2014-12-01 12:40:28:104
-0.5555;-0.1724;9.5577;63.0;-146.82;-138.78;-42.9;133.0;-0.11;2.92;2.4;67.047;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;511;2014-12-01 12:40:28:605
-0.4118;-0.1532;10.0365;27.0;-149.64;-141.0;-46.62;132.52;-0.28;5.27;2.4;66.756;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;1011;2014-12-01 12:40:29:105
-0.4884;0.0;10.1035;27.0;-150.66;-140.64;-52.98;132.56;-0.11;2.89;2.4;64.341;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;1510;2014-12-01 12:40:29:604
-0.3639;-0.0192;9.6438;27.0;-151.98;-139.86;-50.1;132.12;0.06;3.67;2.4;63.369;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;2011;2014-12-01 12:40:30:105
-0.4118;-0.1149;9.6151;27.0;-151.02;-140.94;-48.72;132.77;0.68;2.45;2.4;63.957;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;2511;2014-12-01 12:40:30:605
-0.3543;-0.0766;9.7588;27.0;-150.9;-141.12;-49.5;132.48;-0.35;3.49;2.4;64.364;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;3011;2014-12-01 12:40:31:105
-0.2107;-0.1341;9.6726;27.0;-150.3;-141.36;-51.84;132.69;-0.35;3.03;2.4;68.733;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;3511;2014-12-01 12:40:31:605
-0.6704;0.0192;9.5193;63.0;-147.9;-138.96;-52.02;132.96;0.94;2.38;2.4;66.727;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;4010;2014-12-01 12:40:32:104
-0.316;-0.0479;9.73;55.0;-138.06;-130.56;-50.58;132.53;-1.02;5.21;2.4;65.561;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;4511;2014-12-01 12:40:32:605
-0.4884;0.0958;9.6151;55.0;-127.86;-122.04;-52.98;132.9;-0.68;3.13;2.4;69.578;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;5011;2014-12-01 12:40:33:105
-0.8619;0.1915;9.6055;35.0;-116.94;-112.26;-59.64;132.4;-0.97;4.93;2.4;70.118;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;5511;2014-12-01 12:40:33:605
-0.8715;0.3639;9.6055;29.0;-113.04;-109.26;-60.78;132.72;-0.44;4.67;2.4;66.657;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;6011;2014-12-01 12:40:34:105
-0.6416;0.1053;9.6151;29.0;-113.58;-109.26;-61.74;132.57;-0.5;4.1;2.4;64.478;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;6510;2014-12-01 12:40:34:604
-0.7278;0.2682;10.1035;29.0;-113.76;-109.08;-61.8;132.35;-1.19;4.31;2.4;63.968;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;7011;2014-12-01 12:40:35:105
-0.5267;0.1053;9.8067;29.0;-114.54;-110.1;-61.8;132.3;-1.19;4.67;2.4;63.786;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;7511;2014-12-01 12:40:35:605
-0.4501;0.0096;9.8833;29.0;-113.46;-111.12;-61.92;132.91;-1.76;4.62;2.4;70.117;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;8011;2014-12-01 12:40:36:105
-0.7183;0.3448;9.2225;29.0;-114.12;-110.82;-61.38;132.42;-1.7;6.13;2.4;68.513;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;8511;2014-12-01 12:40:36:605
-0.431;0.1149;9.4332;29.0;-114.3;-111.24;-61.32;132.73;-1.48;4.78;2.4;64.277;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;9011;2014-12-01 12:40:37:105
-0.6991;0.2011;9.7971;29.0;-114.66;-111.78;-62.1;132.97;-1.0;4.17;2.4;68.142;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;9511;2014-12-01 12:40:37:605
-0.6608;0.1149;9.7109;27.0;-115.38;-111.9;-62.16;132.9;-1.07;4.41;2.4;67.474;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;10011;2014-12-01 12:40:38:105
-0.2969;0.2011;6.9719;27.0;-117.48;-113.58;-57.06;131.72;-6.41;4.47;2.4;72.928;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;10511;2014-12-01 12:40:38:605
-0.5555;0.182;7.0677;27.0;-115.98;-115.32;-56.34;133.83;-0.82;3.34;2.4;73.83;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;11011;2014-12-01 12:40:39:105
-0.3735;-0.0383;9.8354;27.0;-118.8;-116.52;-60.96;133.91;0.0;3.52;2.4;66.619;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;11511;2014-12-01 12:40:39:605
-0.7278;0.316;9.6726;57.0;-119.52;-115.26;-60.6;132.35;-1.87;4.3;2.4;63.64;34.567932;135.49103;;63.28195416443005;;5596.7744;;0 / 0;12010;2014-12-01 12:40:40:104
